timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-01 04:30:19.573999882,0.0,0.0,0.0,0.0,1931.580590980832,1933.7773989078419,0.0,0.0,0.0,0.0,0.0,493872.2748795165,0.004023131558502983,0.002533787771877688,0.003802354108711551,0.004096235716124079,0.003970247208597833,0.003972577747653356,0.0024601601648521726,0.0025511982482175296,0.017682963321409843,0.003752712656226094,0.025184728881694526,74715.87532911227,42190.46588964028,72764.36609710008,91238.00867926228,65458.42440468098,65755.48922897775,71901.24435089457,57975.1135103393,981198.6851473667,65909.66550254314,517545.62750475586,21149.777140831877,54948.33959109116,29890.04362085987,42219.84576429407,16091.974217657908,29638.76678368507,51751.07321948157,62716.86886571024,650808.0545382454,38670.571234668336,428805.06993814197,0.0,5.274027987371176,0.0,0.0,0.0,0.0,69.48476337876201,106.86156072073538,15126.583131174031,0.0,0.0,0.0,0.0,0.0,0.0,0.00024457990591135795,0.00024528640157950614,0.0,0.0,0.0,0.0,0.0,0.06256344527793703,0.0,0.0,0.0,0.0,0.0001389853512375473,0.0001391894511200141,0.0,0.0,0.0,0.0,0.0,0.035485388139966226
2026-07-01 04:30:34.573999882,0.0,0.0,0.0,0.0,1931.580590980832,1933.7773989078419,0.0,0.0,0.0,0.0,0.0,493872.2748795165,0.003935993428761561,0.002533787771877688,0.003802354108711551,0.004096235716124079,0.003970247208597833,0.0038640354323970258,0.0024601601648521726,0.0025728096488850305,0.017682963321409843,0.003922462154761054,0.0254330615053538,76518.17689023793,42190.46588964028,72764.36609710008,91238.00867926228,65458.42440468098,63958.85905705929,71901.24435089457,56408.313117830934,981198.6851473667,65391.46336921619,523836.09307394415,21656.682583188733,54948.33959109116,29890.04362085987,42219.84576429407,16091.974217657908,28828.94994122203,51751.07321948157,61009.308852846014,650808.0545382454,38788.81194438249,431360.12625883817,0.0,5.274027987371176,0.0,0.0,0.0,0.0,69.9375762131758,103.64977028098119,15126.583131174031,0.0,0.0,0.0,0.0,0.0,0.0,0.0002459249855409876,0.0002466364589869136,0.0,0.0,0.0,0.0,0.0,0.06290475330571481,0.0,0.0,0.0,0.0,0.00013974610380308668,0.0001399519330739529,0.0,0.0,0.0,0.0,0.0,0.035679121734930666
2026-07-01 04:30:49.573999882,0.0,0.0,0.0,0.0,1928.7128796437237,1923.161616847912,0.0,0.0,0.0,0.0,0.0,495352.9070236067,0.004041307772071677,0.0025299445567311765,0.003802354108711551,0.004096235716124079,0.003970247208597833,0.004065869456984372,0.0024601601648521726,0.0025728096488850305,0.017682963321409843,0.003922462154761054,0.025573007525610574,78565.55366978154,43612.538742620316,72764.36609710008,91238.00867926228,65458.42440468098,68158.06510555051,71901.24435089457,56408.313117830934,981198.6851473667,65391.46336921619,532607.3857959155,22236.144756031277,50451.76125005823,29890.04362085987,42219.84576429407,16091.974217657908,33771.766808205335,51751.07321948157,61009.308852846014,650808.0545382454,38788.81194438249,439264.56148756604,0.0,5.452476088842347,0.0,0.0,0.0,0.0,70.39038904758957,103.64977028098119,15126.583131174031,0.0,0.0,0.0,0.0,0.0,0.0,0.0002472700651706173,0.00024798651639432103,0.0,0.0,0.0,0.0,0.0,0.0632460613334926,0.0,0.0,0.0,0.0,0.0001402696927073082,0.00014024922468204001,0.0,0.0,0.0,0.0,0.0,0.035953514063156694
2026-07-01 04:31:04.573999882,0.0,0.0,0.0,0.0,1928.7128796437237,1923.161616847912,0.0,0.0,0.0,0.0,0.0,495352.9070236067,0.004041307772071677,0.0025299445567311765,0.003802354108711551,0.004100468302635288,0.003970247208597833,0.0040742722099297805,0.0024825472733100997,0.0025728096488850305,0.017727612786885966,0.003922462154761054,0.02566451052997719,78565.55366978154,43612.538742620316,72764.36609710008,86783.09904384759,65458.42440468098,63342.02077232789,76862.79726345345,56408.313117830934,1014545.5946704409,65391.46336921619,529825.698019522,22236.144756031277,50451.76125005823,29890.04362085987,43374.57142433289,16091.974217657908,35335.892383099745,50155.309815672226,61009.308852846014,672756.7198167634,38788.81194438249,438657.83008985186,0.0,5.452476088842347,0.0,0.0,0.0,0.0,68.65632273558658,103.64977028098119,15642.817241706183,0.0,0.0,0.0,0.0,0.0,0.0,0.00024797142791594203,0.0002479353591896135,0.0,0.0,0.0,0.0,0.0,0.06390220872318068,0.0,0.0,0.0,0.0,0.0001410291575021653,0.00014100918070731954,0.0,0.0,0.0,0.0,0.0,0.03614768325987788
2026-07-01 04:31:19.573999882,0.0,0.0,0.0,0.0,1923.8527615128976,1919.6627314448488,0.0,0.0,0.0,0.0,0.0,496807.875676531,0.004041307772071677,0.003442669806345044,0.003802354108711551,0.004100468302635288,0.003970247208597833,0.0040742722099297805,0.0024825472733100997,0.0025728096488850305,0.017727612786885966,0.003922462154761054,0.026196365247584102,78565.55366978154,49529.64859231722,72764.36609710008,86783.09904384759,65458.42440468098,63342.02077232789,76862.79726345345,56408.313117830934,1014545.5946704409,65391.46336921619,536802.9633795287,22236.144756031277,53404.009449561345,29890.04362085987,43374.57142433289,16091.974217657908,35335.892383099745,50155.309815672226,61009.308852846014,672756.7198167634,38788.81194438249,440089.81475451856,0.0,5.209808414044096,0.0,0.0,0.0,0.0,69.09515756055835,103.64977028098119,15642.817241706183,0.0,0.0,0.0,0.0,0.0,0.0,0.00024931301487246375,0.0002492778138997585,0.0,0.0,0.0,0.0,0.0,0.06424520666520965,0.0,0.0,0.0,0.0,0.00014149346356242444,0.00014139348182083257,0.0,0.0,0.0,0.0,0.0,0.03642346535904867
2026-07-01 04:31:34.573999882,0.0,0.0,0.0,0.0,1923.8527615128976,1919.6627314448488,0.0,0.0,0.0,0.0,0.0,496807.875676531,0.004041307772071677,0.003442669806345044,0.0038058949372244,0.004100468302635288,0.004077043337455027,0.0040742722099297805,0.0024825472733100997,0.002578932262252904,0.017727612786885966,0.003925083245696599,0.026629489875289434,78565.55366978154,49529.64859231722,67791.54328730481,86783.09904384759,68552.08523714868,63342.02077232789,76862.79726345345,58460.67926661928,1014545.5946704409,66537.71839435074,533783.5454238402,22236.144756031277,53404.009449561345,31224.242949653995,43374.57142433289,20117.835929664812,35335.892383099745,50155.309815672226,57674.139248456784,672756.7198167634,39089.711012989384,439785.71309083415,0.0,5.209808414044096,0.0,0.0,0.0,0.0,69.53399238553011,107.42097470274805,15642.817241706183,0.0,0.0,0.0,0.0,0.0,0.0,0.0002506546018289855,0.00025062026860990337,0.0,0.0,0.0,0.0,0.0,0.06458820460723864,0.0,0.0,0.0,0.0,0.00014225134289791251,0.00014215141999764764,0.0,0.0,0.0,0.0,0.0,0.03661807060118571
2026-07-01 04:31:49.573999882,0.0,0.0,0.0,0.0,1919.8041207398812,1910.7100158970436,0.0,0.0,0.0,0.0,0.0,498243.12778868194,0.004041307772071677,0.003442669806345044,0.004031283024577938,0.004100468302635288,0.004077043337455027,0.004162150565668157,0.0024825472733100997,0.002590784856235584,0.017312484539604923,0.004035794151271842,0.026930291388755155,78565.55366978154,49529.64859231722,71309.23412809926,86783.09904384759,68552.08523714868,62108.27378875617,76862.79726345345,56655.28458222243,990787.9382073097,66361.05664550963,547442.8750436226,22236.144756031277,53404.009449561345,35457.170402715026,43374.57142433289,20117.835929664812,46091.7585022755,50155.309815672226,55834.219036729795,657002.7476772841,39749.66282689527,452500.7736577934,0.0,5.209808414044096,0.0,0.0,0.0,0.0,69.97282721050186,103.95465060958244,15276.508738573093,0.0,0.0,0.0,0.0,0.0,0.0,0.00025199618878550724,0.00025196272332004833,0.0,0.0,0.0,0.0,0.0,0.06493120254926764,0.0,0.0,0.0,0.0,0.00014273301695457016,0.0001424335938844807,0.0,0.0,0.0,0.0,0.0,0.03689128781800126
2026-07-01 04:32:04.573999882,0.0,0.0,0.0,0.0,1919.8041207398812,1910.7100158970436,0.0,0.0,0.0,0.0,0.0,498243.12778868194,0.004504857333919353,0.0034809165286045357,0.004031283024577938,0.003995277425307118,0.0040004834305588126,0.004162150565668157,0.0024261616413805156,0.002590784856235584,0.01825067027180515,0.004035794151271842,0.02707792465127265,80837.75010274242,51051.85207198081,71309.23412809926,84556.8191041117,70269.42616648383,62108.27378875617,78752.47959548829,56655.28458222243,967529.1018181391,66361.05664550963,549106.7073418681,24207.995143925436,55043.63433427103,35457.170402715026,42261.86700007807,20621.398338703,46091.7585022755,51389.55853294098,55834.219036729795,641951.7145550256,39749.66282689527,452318.3741249708,0.0,5.3701106667581495,0.0,0.0,0.0,0.0,70.51920294551093,103.95465060958244,14903.141796699761,0.0,0.0,0.0,0.0,0.0,0.0,0.00025232211653215125,0.00025179291028487,0.0,0.0,0.0,0.0,0.0,0.06556049020397683,0.0,0.0,0.0,0.0,0.00014348942840967084,0.00014318900363362332,0.0,0.0,0.0,0.0,0.0,0.03708630863210146
2026-07-01 04:32:19.573999882,0.0,0.0,0.0,0.0,1914.3197040204284,1905.9244445213437,0.0,0.0,0.0,0.0,0.0,499632.7422547806,0.004504857333919353,0.0034809165286045357,0.004031283024577938,0.004273969840630277,0.0040967923616946665,0.004162150565668157,0.0024866072650095764,0.002590784856235584,0.01825067027180515,0.004035794151271842,0.027240723675698575,80837.75010274242,51051.85207198081,71309.23412809926,88269.0510686087,71961.1150443649,62108.27378875617,80714.52641887123,56655.28458222243,967529.1018181391,66361.05664550963,549423.2964958212,24207.995143925436,55043.63433427103,35457.170402715026,43213.64801495108,21117.84454751775,46091.7585022755,52669.88291882083,55834.219036729795,641951.7145550256,39749.66282689527,451011.0665228012,0.0,5.3701106667581495,0.0,0.0,0.0,0.0,70.98003907506347,103.95465060958244,14903.141796699761,0.0,0.0,0.0,0.0,0.0,0.0,0.00025365830979456265,0.00025312733404373524,0.0,0.0,0.0,0.0,0.0,0.06590499251957965,0.0,0.0,0.0,0.0,0.0001439925443835357,0.00014364552957712645,0.0,0.0,0.0,0.0,0.0,0.03736030501732923
2026-07-01 04:32:34.573999882,0.0,0.0,0.0,0.0,1914.3197040204284,1905.9244445213437,0.0,0.0,0.0,0.0,0.0,499632.7422547806,0.004531576351394656,0.0034809165286045357,0.004031283024577938,0.004273969840630277,0.0040967923616946665,0.004162150565668157,0.0025121858411703466,0.002590784856235584,0.018314040805259238,0.004035794151271842,0.0276519199581645,83390.64386439892,51051.85207198081,71309.23412809926,88269.0510686087,71961.1150443649,62108.27378875617,77516.75405805356,56655.28458222243,999923.560424643,66361.05664550963,551464.8887079572,24970.721153762883,55043.63433427103,35457.170402715026,43213.64801495108,21117.84454751775,46091.7585022755,50602.467282746074,55834.219036729795,663123.0532376838,39749.66282689527,463937.93461621983,0.0,5.3701106667581495,0.0,0.0,0.0,0.0,68.54788974593814,103.95465060958244,15417.037431979283,0.0,0.0,0.0,0.0,0.0,0.0,0.000254994503056974,0.0002544617578026005,0.0,0.0,0.0,0.0,0.0,0.0662494948351825,0.0,0.0,0.0,0.0,0.00014474762386871307,0.00014439936762732777,0.0,0.0,0.0,0.0,0.0,0.037555738957259575
2026-07-01 04:32:49.573999882,0.0,0.0,0.0,0.0,1908.1354541725536,1892.1380064719021,0.0,0.0,0.0,0.0,0.0,501094.69030582026,0.004531576351394656,0.004534214681660371,0.004031283024577938,0.004273969840630277,0.0040967923616946665,0.004185973938214472,0.0025121858411703466,0.002590784856235584,0.018314040805259238,0.004032250352830209,0.027775201790922778,83390.64386439892,62329.13339463011,71309.23412809926,88269.0510686087,71961.1150443649,64984.60309578424,77516.75405805356,56655.28458222243,999923.560424643,68208.76285938527,560669.7382510757,24970.721153762883,61921.99022761379,35457.170402715026,43213.64801495108,21117.84454751775,48225.86761925224,50602.467282746074,55834.219036729795,663123.0532376838,40856.421861746865,476288.87241482595,0.0,5.175548733258333,0.0,0.0,0.0,0.0,68.99006439888068,103.95465060958244,15417.037431979283,0.0,0.0,0.0,0.0,0.0,0.0,0.0002563306963193853,0.00025579618156146565,0.0,0.0,0.0,0.0,0.0,0.06659399715078533,0.0,0.0,0.0,0.0,0.00014517991914122009,0.00014462440419475486,0.0,0.0,0.0,0.0,0.0,0.037830191277813965
