aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
7000.773704237576,2950.2803253790785,7127.273438513846,6981.536448966647,7034.558431802218,6722.6836963520645,253789.68091775765,2542.290538886665,5700.672154199316,2562.8232105051825,15052.261327510761,6917.6011028902185,72204.43886336416,655419.3755578853
7027.128283737337,2945.6968095492875,7156.72479919301,7006.556651432977,7060.662392524028,6748.282913558654,254662.01255073978,2551.078462949127,5718.610752531543,2567.024066946168,15101.924497564529,6948.497792619506,72274.15979963486,657560.9597443328
7052.018818262559,2945.367836661988,7191.555603679369,7033.999754977967,7091.523812482228,6774.1382319636805,255532.91437175169,2557.1640097913005,5735.5965253681625,2570.2296113508437,15150.716202121595,6970.427142587264,72320.88541916237,659808.9348669597
7076.716562039969,2940.2977465573435,7218.5308213200005,7059.363465975856,7117.1313647381785,6798.475592973689,256397.86954981167,2565.8000508761643,5752.154850616869,2574.3150500631677,15208.956380256743,7001.6816824272955,72387.50340820386,661922.546560711
7100.67353044268,2940.4203070866165,7246.487101498028,7087.614942804305,7147.230028420355,6824.158619645298,257263.44463752955,2572.0062819137343,5769.692087254029,2577.487293018512,15260.412430257975,7024.977437419806,72425.62894885706,664018.0985829694
7127.6420685623125,2935.9654477529875,7273.376826973502,7113.707753166345,7174.697631732501,6851.781583550175,258134.63015206644,2580.9157039988813,5786.149311866923,2580.7568348700593,15307.389162709542,7055.163321593062,72494.48586744616,666151.1754428968
7153.218377487276,2935.9806212459143,7303.064014032483,7142.739165232063,7203.194830419391,6876.854137957755,259005.18048301432,2587.180382228237,5803.510189113535,2583.502935737827,15356.745940315133,7079.157839993772,72537.1288448762,668339.62610211
7179.300440526759,2931.040785560626,7328.061868609268,7168.222669240614,7229.780133594857,6904.489061564339,259875.8130227502,2596.3829341645287,5821.211588696948,2587.6894953764117,15416.777003573772,7110.474171904375,72600.74755790626,670508.6131388501
7206.615311386344,2931.058518609187,7352.154114085359,7196.169366883552,7257.956096805003,6929.7623050926795,260738.12167963816,2602.2035351742525,5839.600723062629,2589.9222650972065,15466.884658635074,7134.999874563388,72639.89918365872,672677.1909350123
7234.974173431661,2926.111679323332,7377.309450356428,7222.124407524084,7285.366021325668,6958.381745927261,261608.11216365447,2610.7876394465334,5856.737693915781,2593.329205026125,15512.916020300041,7165.954080456984,72701.13491811586,674846.4970807163
7263.245192705727,2926.359955063252,7405.624626491756,7252.185166765244,7316.554420428764,6984.458299989709,262487.0402532086,2617.43961039834,5873.917647953898,2596.365875624739,15563.599342362955,7190.672661752218,72757.15208939764,677046.9204423503
7291.201132207703,2921.4022253156363,7431.231000799529,7276.20692740306,7340.428460541143,7010.9173036224265,263358.40637134446,2625.7691789555142,5892.692576083206,2600.0304964773063,15620.891921068845,7221.542461177587,72819.1146154862,679278.2245307319
7321.264970628666,2921.6540127750777,7457.3280016876615,7309.330319150537,7368.75518712247,7034.6218668129695,264231.52713758027,2631.5935971268427,5910.482898632983,2602.3673316287263,15672.6320059717,7247.338419366236,72869.73336621195,681369.4245939525
7347.622589830898,2916.86487822641,7482.872777179997,7334.731220844332,7394.666940845256,7065.828551015469,265099.8413344927,2639.9652980127426,5926.621375581829,2605.6607670694602,15717.160986775905,7275.966611041923,72932.4741001267,683566.9033888729
7376.166633066956,2917.5149040935453,7514.304258961737,7367.370760937966,7425.152690542304,7090.157339189441,265978.97264134046,2646.908781031823,5944.745597634749,2609.5097107630913,15769.532072279066,7300.604305571297,72986.65492297882,685863.5463393334
